2025-06-06 12:30:19.345749 | НН.jpg | Нейтрально | [0.4000000059604645, 0.46000000834465027, 0.14000000059604645]
2025-06-06 12:31:19.465333 | НН.jpg | Нейтрально | [0.4000000059604645, 0.46000000834465027, 0.14000000059604645]
2025-06-06 12:31:20.710006 | НН.jpg | Нейтрально | [0.4000000059604645, 0.46000000834465027, 0.14000000059604645]
2025-06-06 12:31:26.440972 | НН.jpg | Улыбка | [0.1599999964237213, 0.3100000023841858, 0.5299999713897705]
2025-06-06 12:31:29.471430 | НН.jpg | Улыбка | [0.1599999964237213, 0.3100000023841858, 0.5299999713897705]
2025-06-06 12:31:32.584769 | New Piskel.png | Нейтрально | [0.009999999776482582, 0.5, 0.49000000953674316]
2025-06-06 12:31:34.327142 | New Piskel.png | Нейтрально | [0.009999999776482582, 0.5, 0.49000000953674316]
2025-06-06 12:31:40.609767 | New Piskel.png | Нейтрально | [0.4300000071525574, 0.5299999713897705, 0.05000000074505806]
2025-06-06 12:31:48.002102 | New Piskel.png | Нейтрально | [0.49000000953674316, 0.5099999904632568, 0.0]
2025-06-06 12:35:15.603624 | New Piskel.png | Нейтрально | [0.33000001311302185, 0.3499999940395355, 0.3199999928474426]
2025-06-09 12:28:33.763691 | smile2_1 (1).png | Улыбка | [0.33000001311302185, 0.33000001311302185, 0.3499999940395355]
